round,seventy_percent_image
1,option1A.bmp
2,option1A.bmp
3,option1A.bmp
4,option1A.bmp
5,option1A.bmp
6,option1A.bmp
7,option1A.bmp
8,option1B.bmp
9,option1B.bmp
10,option1B.bmp
11,option1B.bmp
12,option1B.bmp
13,option1B.bmp
14,option1B.bmp
15,option1B.bmp
16,option1B.bmp
17,option1B.bmp
18,option1A.bmp
19,option1A.bmp
20,option1A.bmp
21,option1A.bmp
22,option1A.bmp
23,option1A.bmp
24,option1A.bmp
25,option1A.bmp
26,option1A.bmp
27,option1B.bmp
28,option1B.bmp
29,option1B.bmp
30,option1B.bmp
31,option1B.bmp
32,option1B.bmp
33,option1B.bmp
34,option1B.bmp
35,option1B.bmp
36,option1A.bmp
37,option1A.bmp
38,option1A.bmp
39,option1A.bmp
40,option1A.bmp
